,ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
0,place_o-990001,2023-04-03 12:08:18+00:00,place order,AlpenTech Innovations AG,,,,customers
1,place_o-990002,2023-04-03 16:36:55+00:00,place order,AlpenTech Innovations AG,,,,customers
2,place_o-990003,2023-04-03 23:31:23+00:00,place order,Celtica Green Farms Oy,,,,customers
3,place_o-990004,2023-04-04 12:30:50+00:00,place order,Baltic Wave Energies Ltd.,,,,customers
4,confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,AlpenTech Innovations AG,,,,customers
5,confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,AlpenTech Innovations AG,,,,customers
6,place_o-990005,2023-04-04 17:21:59+00:00,place order,AlpenTech Innovations AG,,,,customers
7,confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,AlpenTech Innovations AG,,,,customers
8,place_o-990006,2023-04-05 06:24:56+00:00,place order,Balkan Minerals d.o.o.,,,,customers
9,confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,Balkan Minerals d.o.o.,,,,customers
10,place_o-990007,2023-04-05 13:05:45+00:00,place order,Riviera Robotics SAS,,,,customers
11,confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,Celtica Green Farms Oy,,,,customers
12,place_o-990008,2023-04-05 17:31:49+00:00,place order,AlpenTech Innovations AG,,,,customers
13,confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,Riviera Robotics SAS,,,,customers
14,place_o-990009,2023-04-06 08:13:07+00:00,place order,Vesta Fashion House GmbH,,,,customers
15,confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,AlpenTech Innovations AG,,,,customers
16,confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
17,place_o-990010,2023-04-06 13:09:59+00:00,place order,Vesta Fashion House GmbH,,,,customers
18,confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,Baltic Wave Energies Ltd.,,,,customers
19,confirm_o-990010,2023-04-06 16:31:47+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
20,place_o-990011,2023-04-06 17:40:17+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
21,place_o-990012,2023-04-07 08:53:28+00:00,place order,SwissPeak Timepieces AG,,,,customers
22,confirm_o-990012,2023-04-07 10:03:35+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
23,place_o-990013,2023-04-07 14:10:31+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
24,confirm_o-990013,2023-04-07 15:19:53+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
25,place_o-990014,2023-04-07 18:41:21+00:00,place order,Celtica Green Farms Oy,,,,customers
26,place_o-990015,2023-04-09 14:15:59+00:00,place order,Iberian Sun Solaridades SA,,,,customers
27,place_o-990016,2023-04-10 11:37:17+00:00,place order,Nordica Systems GmbH,,,,customers
28,place_o-990017,2023-04-10 16:34:53+00:00,place order,Golden Fleece Textiles S.A.R.L.,,,,customers
29,confirm_o-990014,2023-04-10 17:36:39+00:00,confirm order,Celtica Green Farms Oy,,,,customers
30,confirm_o-990017,2023-04-10 19:28:12+00:00,confirm order,Golden Fleece Textiles S.A.R.L.,,,,customers
31,confirm_o-990011,2023-04-10 21:55:54+00:00,confirm order,Eastern Oak Insurance Zrt.,,,,customers
32,place_o-990018,2023-04-10 23:25:17+00:00,place order,AlpenTech Innovations AG,,,,customers
33,confirm_o-990018,2023-04-11 09:03:16+00:00,confirm order,AlpenTech Innovations AG,,,,customers
34,confirm_o-990016,2023-04-11 09:30:24+00:00,confirm order,Nordica Systems GmbH,,,,customers
35,confirm_o-990015,2023-04-11 10:47:20+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
36,place_o-990019,2023-04-11 12:24:07+00:00,place order,Nordica Systems GmbH,,,,customers
37,place_o-990020,2023-04-11 17:08:33+00:00,place order,Pantheon Art Gallery Kft.,,,,customers
38,place_o-990021,2023-04-12 03:57:11+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
39,confirm_o-990019,2023-04-12 08:55:57+00:00,confirm order,Nordica Systems GmbH,,,,customers
40,confirm_o-990021,2023-04-12 11:44:39+00:00,confirm order,Eastern Oak Insurance Zrt.,,,,customers
41,place_o-990022,2023-04-12 13:23:13+00:00,place order,Iberian Sun Solaridades SA,,,,customers
42,confirm_o-990020,2023-04-12 14:26:45+00:00,confirm order,Pantheon Art Gallery Kft.,,,,customers
43,place_o-990023,2023-04-12 18:06:45+00:00,place order,Riviera Robotics SAS,,,,customers
44,place_o-990024,2023-04-13 09:09:49+00:00,place order,Iberian Sun Solaridades SA,,,,customers
45,confirm_o-990022,2023-04-13 10:47:59+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
46,confirm_o-990023,2023-04-13 11:26:39+00:00,confirm order,Riviera Robotics SAS,,,,customers
47,place_o-990025,2023-04-13 13:39:56+00:00,place order,SwissPeak Timepieces AG,,,,customers
48,confirm_o-990025,2023-04-13 16:07:55+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
49,place_o-990026,2023-04-13 18:40:11+00:00,place order,Carpathian Financial Services plc,,,,customers
50,place_o-990027,2023-04-14 10:16:41+00:00,place order,Vesta Fashion House GmbH,,,,customers
51,confirm_o-990026,2023-04-14 10:56:07+00:00,confirm order,Carpathian Financial Services plc,,,,customers
52,confirm_o-990024,2023-04-14 11:13:33+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
53,place_o-990028,2023-04-14 14:53:41+00:00,place order,Nordica Systems GmbH,,,,customers
54,place_o-990029,2023-04-14 20:21:40+00:00,place order,AlpenTech Innovations AG,,,,customers
55,place_o-990030,2023-04-17 02:45:08+00:00,place order,Golden Fleece Textiles S.A.R.L.,,,,customers
56,confirm_o-990030,2023-04-17 09:09:39+00:00,confirm order,Golden Fleece Textiles S.A.R.L.,,,,customers
57,confirm_o-990027,2023-04-17 10:00:16+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
58,confirm_o-990029,2023-04-17 10:35:32+00:00,confirm order,AlpenTech Innovations AG,,,,customers
59,place_o-990031,2023-04-17 13:03:58+00:00,place order,Pantheon Art Gallery Kft.,,,,customers
60,place_o-990032,2023-04-17 17:28:15+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
61,confirm_o-990028,2023-04-17 19:14:29+00:00,confirm order,Nordica Systems GmbH,,,,customers
62,place_o-990033,2023-04-18 07:33:53+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
63,confirm_o-990033,2023-04-18 11:07:33+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
64,place_o-990034,2023-04-18 13:21:35+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
65,confirm_o-990031,2023-04-18 16:35:49+00:00,confirm order,Pantheon Art Gallery Kft.,,,,customers
66,place_o-990035,2023-04-18 18:03:28+00:00,place order,Danube Pharmaceuticals BV,,,,customers
67,place_o-990036,2023-04-19 09:03:02+00:00,place order,Iberian Sun Solaridades SA,,,,customers
68,place_o-990037,2023-04-19 13:26:23+00:00,place order,Balkan Minerals d.o.o.,,,,customers
69,confirm_o-990035,2023-04-19 13:38:52+00:00,confirm order,Danube Pharmaceuticals BV,,,,customers
70,confirm_o-990034,2023-04-19 13:54:50+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
71,confirm_o-990037,2023-04-19 15:03:35+00:00,confirm order,Balkan Minerals d.o.o.,,,,customers
72,confirm_o-990036,2023-04-19 15:35:19+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
73,place_o-990038,2023-04-19 18:13:05+00:00,place order,Baltic Wave Energies Ltd.,,,,customers
74,confirm_o-990032,2023-04-19 22:17:22+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
75,place_o-990039,2023-04-20 09:22:28+00:00,place order,SwissPeak Timepieces AG,,,,customers
76,place_o-990040,2023-04-20 14:05:15+00:00,place order,Golden Fleece Textiles S.A.R.L.,,,,customers
77,confirm_o-990039,2023-04-20 14:59:30+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
78,place_o-990041,2023-04-20 18:30:49+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
79,place_o-990042,2023-04-21 09:57:57+00:00,place order,Nordica Systems GmbH,,,,customers
80,confirm_o-990041,2023-04-21 10:11:42+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
81,confirm_o-990038,2023-04-21 14:33:45+00:00,confirm order,Baltic Wave Energies Ltd.,,,,customers
82,place_o-990043,2023-04-21 15:16:13+00:00,place order,AlpenTech Innovations AG,,,,customers
83,confirm_o-990042,2023-04-21 17:21:37+00:00,confirm order,Nordica Systems GmbH,,,,customers
84,place_o-990044,2023-04-21 20:29:16+00:00,place order,Carpathian Financial Services plc,,,,customers
85,place_o-990045,2023-04-24 03:30:44+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
86,confirm_o-990043,2023-04-24 09:24:09+00:00,confirm order,AlpenTech Innovations AG,,,,customers
87,confirm_o-990045,2023-04-24 11:09:11+00:00,confirm order,Eastern Oak Insurance Zrt.,,,,customers
88,place_o-990046,2023-04-24 12:54:07+00:00,place order,Vesta Fashion House GmbH,,,,customers
89,confirm_o-990044,2023-04-24 13:40:32+00:00,confirm order,Carpathian Financial Services plc,,,,customers
90,place_o-990047,2023-04-24 18:08:33+00:00,place order,SwissPeak Timepieces AG,,,,customers
91,confirm_o-990047,2023-04-25 08:15:49+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
92,place_o-990048,2023-04-25 09:13:25+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
93,place_o-990049,2023-04-25 13:47:09+00:00,place order,SwissPeak Timepieces AG,,,,customers
94,confirm_o-990048,2023-04-25 14:34:04+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
95,place_o-990050,2023-04-25 18:54:36+00:00,place order,Danube Pharmaceuticals BV,,,,customers
96,place_o-990051,2023-04-26 10:45:31+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
97,confirm_o-990050,2023-04-26 12:08:51+00:00,confirm order,Danube Pharmaceuticals BV,,,,customers
98,confirm_o-990046,2023-04-26 13:13:28+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
99,place_o-990052,2023-04-26 15:51:21+00:00,place order,Iberian Sun Solaridades SA,,,,customers
100,confirm_o-990051,2023-04-26 16:29:10+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
101,place_o-990053,2023-04-26 22:14:41+00:00,place order,Baltic Wave Energies Ltd.,,,,customers
102,confirm_o-990053,2023-04-27 09:45:40+00:00,confirm order,Baltic Wave Energies Ltd.,,,,customers
103,confirm_o-990049,2023-04-27 10:32:53+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
104,place_o-990054,2023-04-27 11:48:20+00:00,place order,Balkan Minerals d.o.o.,,,,customers
105,place_o-990055,2023-04-27 16:56:59+00:00,place order,AlpenTech Innovations AG,,,,customers
106,confirm_o-990052,2023-04-27 17:18:16+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
107,place_o-990056,2023-04-28 02:49:57+00:00,place order,Danube Pharmaceuticals BV,,,,customers
108,confirm_o-990055,2023-04-28 10:36:57+00:00,confirm order,AlpenTech Innovations AG,,,,customers
109,place_o-990057,2023-04-28 13:09:15+00:00,place order,SwissPeak Timepieces AG,,,,customers
110,confirm_o-990057,2023-04-28 15:46:10+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
111,confirm_o-990056,2023-04-28 16:04:09+00:00,confirm order,Danube Pharmaceuticals BV,,,,customers
112,place_o-990058,2023-04-28 17:38:49+00:00,place order,SwissPeak Timepieces AG,,,,customers
113,confirm_o-990040,2023-04-28 18:57:43+00:00,confirm order,Golden Fleece Textiles S.A.R.L.,,,,customers
114,place_o-990059,2023-04-29 17:12:07+00:00,place order,Danube Pharmaceuticals BV,,,,customers
115,place_o-990060,2023-05-01 08:01:41+00:00,place order,Danube Pharmaceuticals BV,,,,customers
116,confirm_o-990054,2023-05-01 08:59:18+00:00,confirm order,Balkan Minerals d.o.o.,,,,customers
117,place_o-990061,2023-05-01 09:50:37+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
118,place_o-990062,2023-05-01 11:59:20+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
119,confirm_o-990061,2023-05-01 12:44:26+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
120,confirm_o-990059,2023-05-01 13:15:45+00:00,confirm order,Danube Pharmaceuticals BV,,,,customers
121,place_o-990063,2023-05-01 14:16:46+00:00,place order,Celtica Green Farms Oy,,,,customers
122,confirm_o-990060,2023-05-01 14:18:38+00:00,confirm order,Danube Pharmaceuticals BV,,,,customers
123,place_o-990064,2023-05-01 15:51:37+00:00,place order,SwissPeak Timepieces AG,,,,customers
124,confirm_o-990058,2023-05-01 16:07:16+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
125,confirm_o-990064,2023-05-01 17:04:00+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
126,place_o-990065,2023-05-01 18:01:20+00:00,place order,Baltic Wave Energies Ltd.,,,,customers
127,place_o-990066,2023-05-01 19:40:11+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
128,place_o-990067,2023-05-01 22:56:34+00:00,place order,Celtica Green Farms Oy,,,,customers
129,confirm_o-990063,2023-05-02 09:26:36+00:00,confirm order,Celtica Green Farms Oy,,,,customers
130,place_o-990068,2023-05-02 09:41:19+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
