,ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
0,pick_i-880003,2023-04-03 13:21:49+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
1,pick_i-880001,2023-04-04 09:50:21+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
2,pick_i-880006,2023-04-04 10:01:31+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
3,pick_i-880020,2023-04-04 15:08:41+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
4,out_of_stock_i-880016,2023-04-04 15:42:47+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
5,pick_i-880015,2023-04-04 15:54:23+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
6,confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,Istvan Koren,Sales,,,employees
7,pick_i-880002,2023-04-04 16:12:13+00:00,pick item,Nina Graves,Warehousing,,,employees
8,confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,Wil van der Aalst,Sales,,,employees
9,pick_i-880009,2023-04-04 16:57:22+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
10,pick_i-880021,2023-04-04 17:31:37+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
11,confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,Wil van der Aalst,Sales,,,employees
12,pick_i-880023,2023-04-05 09:43:34+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
13,pick_i-880025,2023-04-05 10:37:14+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
14,pick_i-880012,2023-04-05 11:03:07+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
15,pick_i-880032,2023-04-05 11:10:48+00:00,pick item,Nina Graves,Warehousing,,,employees
16,pick_i-880031,2023-04-05 11:20:35+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
17,reorder_i-880016,2023-04-05 11:26:59+00:00,reorder item,Leah Tacke genannt Unterberg,Warehousing,,,employees
18,confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,Mara Nitschke,Sales,,,employees
19,pick_i-880011,2023-04-05 11:47:56+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
20,pick_i-880008,2023-04-05 12:35:22+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
21,pick_i-880030,2023-04-05 13:15:10+00:00,pick item,Nina Graves,Warehousing,,,employees
22,out_of_stock_i-880036,2023-04-05 13:24:16+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
23,out_of_stock_i-880018,2023-04-05 14:08:04+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
24,out_of_stock_i-880010,2023-04-05 14:24:55+00:00,item out of stock,Nina Graves,Warehousing,,,employees
25,pick_i-880004,2023-04-05 14:53:49+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
26,pick_i-880029,2023-04-05 15:09:33+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
27,pick_i-880022,2023-04-05 15:20:58+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
28,confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,Jan Niklas Adams,Sales,,,employees
29,pick_i-880013,2023-04-05 16:29:50+00:00,pick item,Nina Graves,Warehousing,,,employees
30,out_of_stock_i-880033,2023-04-05 16:34:46+00:00,item out of stock,Mahsa Bafrani,Warehousing,,,employees
31,reorder_i-880010,2023-04-05 17:19:01+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
32,reorder_i-880033,2023-04-05 17:53:54+00:00,reorder item,Christopher Schwanen,Warehousing,,,employees
33,confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,Istvan Koren,Sales,,,employees
34,pick_i-880014,2023-04-05 19:08:54+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
35,pick_i-880039,2023-04-06 08:19:37+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
36,confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,Wil van der Aalst,Sales,,,employees
37,pick_i-880045,2023-04-06 09:32:12+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
38,out_of_stock_i-880034,2023-04-06 09:40:04+00:00,item out of stock,Christopher Schwanen,Warehousing,,,employees
39,confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,Istvan Koren,Sales,,,employees
40,out_of_stock_i-880035,2023-04-06 10:55:11+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
41,reorder_i-880034,2023-04-06 11:18:28+00:00,reorder item,Benedikt Knopp,Warehousing,,,employees
42,pick_i-880047,2023-04-06 11:55:00+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
43,pick_i-880024,2023-04-06 12:01:11+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
44,out_of_stock_i-880007,2023-04-06 14:09:37+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
45,pick_i-880019,2023-04-06 14:26:25+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
46,reorder_i-880035,2023-04-06 14:59:08+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
47,confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,Christine von Dobbert,Sales,,,employees
48,pick_i-880026,2023-04-06 16:22:52+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
49,confirm_o-990010,2023-04-06 16:31:47+00:00,confirm order,Christine von Dobbert,Sales,,,employees
50,pick_i-880005,2023-04-06 16:31:52+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
51,pick_i-880017,2023-04-06 17:21:18+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
52,pick_i-880041,2023-04-06 17:24:07+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
53,pick_i-880034,2023-04-06 17:55:10+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
54,pick_i-880054,2023-04-06 17:57:17+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
55,pick_i-880049,2023-04-07 08:49:13+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
56,pick_i-880042,2023-04-07 09:36:34+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
57,confirm_o-990012,2023-04-07 10:03:35+00:00,confirm order,Christine von Dobbert,Sales,,,employees
58,pick_i-880027,2023-04-07 10:42:42+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
59,pick_i-880038,2023-04-07 10:47:05+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
60,pick_i-880033,2023-04-07 14:03:44+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
61,pick_i-880055,2023-04-07 14:08:07+00:00,pick item,Nina Graves,Warehousing,,,employees
62,pick_i-880064,2023-04-07 14:13:13+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
63,pick_i-880043,2023-04-07 14:35:22+00:00,pick item,Nina Graves,Warehousing,,,employees
64,out_of_stock_i-880046,2023-04-07 15:14:43+00:00,item out of stock,Mahsa Bafrani,Warehousing,,,employees
65,pick_i-880061,2023-04-07 15:17:32+00:00,pick item,Nina Graves,Warehousing,,,employees
66,confirm_o-990013,2023-04-07 15:19:53+00:00,confirm order,Wil van der Aalst,Sales,,,employees
67,pick_i-880040,2023-04-07 15:40:24+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
68,pick_i-880044,2023-04-07 16:02:42+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
69,pick_i-880056,2023-04-07 16:03:27+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
70,reorder_i-880018,2023-04-07 16:10:47+00:00,reorder item,Benedikt Knopp,Warehousing,,,employees
71,pick_i-880010,2023-04-07 16:44:23+00:00,pick item,Nina Graves,Warehousing,,,employees
72,reorder_i-880046,2023-04-07 17:36:22+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
73,create_p-660001,2023-04-08 01:00:00+00:00,create package,Detlef Wetzeler,Warehousing,,,employees
74,pick_i-880048,2023-04-10 08:44:22+00:00,pick item,Nina Graves,Warehousing,,,employees
75,pick_i-880062,2023-04-10 09:00:46+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
76,pick_i-880070,2023-04-10 09:00:57+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
77,send_p-660001,2023-04-10 10:40:42+00:00,send package,Viki Peeva,Shipment,,,employees
78,send_p-660001,2023-04-10 10:40:42+00:00,send package,Detlef Wetzeler,Warehousing,,,employees
79,out_of_stock_i-880050,2023-04-10 11:03:45+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
80,reorder_i-880036,2023-04-10 11:14:54+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
81,pick_i-880075,2023-04-10 11:53:35+00:00,pick item,Nina Graves,Warehousing,,,employees
82,pick_i-880051,2023-04-10 12:05:48+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
83,pick_i-880063,2023-04-10 14:39:52+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
84,pick_i-880057,2023-04-10 15:32:44+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
85,pick_i-880067,2023-04-10 15:54:41+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
86,pick_i-880037,2023-04-10 16:28:45+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
87,pick_i-880068,2023-04-10 17:20:00+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
88,pick_i-880073,2023-04-10 17:22:32+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
89,confirm_o-990014,2023-04-10 17:36:39+00:00,confirm order,Istvan Koren,Sales,,,employees
90,confirm_o-990017,2023-04-10 19:28:12+00:00,confirm order,Mara Nitschke,Sales,,,employees
91,confirm_o-990011,2023-04-10 21:55:54+00:00,confirm order,Mara Nitschke,Sales,,,employees
92,pick_i-880085,2023-04-11 08:46:06+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
93,confirm_o-990018,2023-04-11 09:03:16+00:00,confirm order,Wil van der Aalst,Sales,,,employees
94,out_of_stock_i-880081,2023-04-11 09:19:29+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
95,confirm_o-990016,2023-04-11 09:30:24+00:00,confirm order,Wil van der Aalst,Sales,,,employees
96,pick_i-880060,2023-04-11 09:48:03+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
97,reorder_i-880007,2023-04-11 09:52:59+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
98,pick_i-880076,2023-04-11 10:09:38+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
99,out_of_stock_i-880084,2023-04-11 10:26:08+00:00,item out of stock,Leah Tacke genannt Unterberg,Warehousing,,,employees
100,reorder_i-880050,2023-04-11 10:30:52+00:00,reorder item,Nina Graves,Warehousing,,,employees
101,out_of_stock_i-880065,2023-04-11 10:32:58+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
102,confirm_o-990015,2023-04-11 10:47:20+00:00,confirm order,Christine von Dobbert,Sales,,,employees
103,deliver_p-660001,2023-04-11 11:03:27+00:00,package delivered,Viki Peeva,Shipment,,,employees
104,out_of_stock_i-880078,2023-04-11 12:07:07+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
105,reorder_i-880084,2023-04-11 12:07:20+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
106,pick_i-880028,2023-04-11 12:49:45+00:00,pick item,Nina Graves,Warehousing,,,employees
107,pick_i-880069,2023-04-11 13:45:01+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
108,out_of_stock_i-880074,2023-04-11 14:38:26+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
109,pick_i-880082,2023-04-11 15:00:56+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
110,pick_i-880072,2023-04-11 15:16:50+00:00,pick item,Nina Graves,Warehousing,,,employees
111,reorder_i-880074,2023-04-11 15:39:26+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
112,out_of_stock_i-880083,2023-04-11 15:49:13+00:00,item out of stock,Mahsa Bafrani,Warehousing,,,employees
113,pick_i-880053,2023-04-11 17:00:11+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
114,pick_i-880089,2023-04-11 17:13:11+00:00,pick item,Nina Graves,Warehousing,,,employees
115,reorder_i-880065,2023-04-11 17:13:18+00:00,reorder item,Nina Graves,Warehousing,,,employees
116,pick_i-880086,2023-04-11 17:33:43+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
117,confirm_o-990019,2023-04-12 08:55:57+00:00,confirm order,Wil van der Aalst,Sales,,,employees
118,out_of_stock_i-880066,2023-04-12 09:51:49+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
119,create_p-660002,2023-04-12 09:52:12+00:00,create package,Christopher Schwanen,Warehousing,,,employees
120,pick_i-880074,2023-04-12 09:52:12+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
121,pick_i-880071,2023-04-12 10:22:01+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
122,out_of_stock_i-880096,2023-04-12 10:44:57+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
123,pick_i-880035,2023-04-12 11:42:21+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
124,confirm_o-990021,2023-04-12 11:44:39+00:00,confirm order,Mara Nitschke,Sales,,,employees
125,pick_i-880065,2023-04-12 12:08:07+00:00,pick item,Nina Graves,Warehousing,,,employees
126,confirm_o-990020,2023-04-12 14:26:45+00:00,confirm order,Jan Niklas Adams,Sales,,,employees
127,pick_i-880091,2023-04-12 15:08:06+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
128,pick_i-880080,2023-04-12 15:16:47+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
129,create_p-660003,2023-04-12 15:59:22+00:00,create package,Benedikt Knopp,Warehousing,,,employees
130,pick_i-880016,2023-04-12 15:59:22+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
131,pick_i-880087,2023-04-12 16:10:55+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
132,pick_i-880052,2023-04-12 16:26:03+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
133,reorder_i-880081,2023-04-12 16:30:27+00:00,reorder item,Nina Graves,Warehousing,,,employees
134,send_p-660002,2023-04-12 16:34:48+00:00,send package,Eduardo Goulart Rocha,Shipment,,,employees
135,send_p-660002,2023-04-12 16:34:48+00:00,send package,Detlef Wetzeler,Warehousing,,,employees
136,pick_i-880097,2023-04-12 16:53:28+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
137,pick_i-880058,2023-04-12 17:39:55+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
138,reorder_i-880066,2023-04-12 17:45:31+00:00,reorder item,Mahsa Bafrani,Warehousing,,,employees
139,reorder_i-880078,2023-04-12 17:51:03+00:00,reorder item,Christopher Schwanen,Warehousing,,,employees
140,pick_i-880103,2023-04-12 21:18:09+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
141,create_p-660004,2023-04-13 01:00:00+00:00,create package,Marco Pegoraro,Warehousing,,,employees
142,send_p-660004,2023-04-13 08:05:53+00:00,send package,Majid Rafiei,Shipment,,,employees
143,send_p-660004,2023-04-13 08:05:53+00:00,send package,Yisong Zhang,Shipment,,,employees
144,deliver_p-660004,2023-04-13 08:08:48+00:00,package delivered,Majid Rafiei,Shipment,,,employees
145,pick_i-880092,2023-04-13 08:36:14+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
146,pick_i-880077,2023-04-13 09:11:47+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
147,pick_i-880095,2023-04-13 10:40:03+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
148,confirm_o-990022,2023-04-13 10:47:59+00:00,confirm order,Mara Nitschke,Sales,,,employees
149,confirm_o-990023,2023-04-13 11:26:39+00:00,confirm order,Christine von Dobbert,Sales,,,employees
150,pick_i-880106,2023-04-13 11:31:55+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
151,out_of_stock_i-880079,2023-04-13 11:56:42+00:00,item out of stock,Christopher Schwanen,Warehousing,,,employees
152,reorder_i-880096,2023-04-13 12:27:18+00:00,reorder item,Nina Graves,Warehousing,,,employees
153,send_p-660003,2023-04-13 12:50:06+00:00,send package,Alessandro Berti,Shipment,,,employees
154,send_p-660003,2023-04-13 12:50:06+00:00,send package,Nina Graves,Warehousing,,,employees
155,pick_i-880093,2023-04-13 13:22:27+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
156,pick_i-880094,2023-04-13 13:44:44+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
157,pick_i-880104,2023-04-13 14:18:36+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
158,pick_i-880109,2023-04-13 15:01:14+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
159,create_p-660005,2023-04-13 15:01:36+00:00,create package,Detlef Wetzeler,Warehousing,,,employees
160,pick_i-880108,2023-04-13 15:01:36+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
161,deliver_p-660002,2023-04-13 15:28:20+00:00,package delivered,Eduardo Goulart Rocha,Shipment,,,employees
162,send_p-660005,2023-04-13 15:57:03+00:00,send package,Yisong Zhang,Shipment,,,employees
163,send_p-660005,2023-04-13 15:57:03+00:00,send package,Leah Tacke genannt Unterberg,Warehousing,,,employees
164,confirm_o-990025,2023-04-13 16:07:55+00:00,confirm order,Christine von Dobbert,Sales,,,employees
165,pick_i-880078,2023-04-13 16:54:11+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
166,out_of_stock_i-880111,2023-04-13 17:19:43+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
167,deliver_p-660003,2023-04-13 18:01:52+00:00,package delivered,Alessandro Berti,Shipment,,,employees
168,out_of_stock_i-880105,2023-04-13 18:29:56+00:00,item out of stock,Christopher Schwanen,Warehousing,,,employees
169,deliver_p-660005,2023-04-13 19:27:26+00:00,package delivered,Yisong Zhang,Shipment,,,employees
170,out_of_stock_i-880112,2023-04-13 21:03:34+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
171,out_of_stock_i-880114,2023-04-14 09:07:37+00:00,item out of stock,Nina Graves,Warehousing,,,employees
172,reorder_i-880111,2023-04-14 09:31:06+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
173,pick_i-880100,2023-04-14 09:41:21+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
174,pick_i-880101,2023-04-14 09:42:55+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
175,reorder_i-880083,2023-04-14 10:06:38+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
176,pick_i-880113,2023-04-14 10:37:52+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
177,confirm_o-990026,2023-04-14 10:56:07+00:00,confirm order,Jan Niklas Adams,Sales,,,employees
178,confirm_o-990024,2023-04-14 11:13:33+00:00,confirm order,Christine von Dobbert,Sales,,,employees
179,pick_i-880107,2023-04-14 11:25:20+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
180,reorder_i-880079,2023-04-14 11:52:52+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
181,pick_i-880110,2023-04-14 12:44:27+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
182,pick_i-880088,2023-04-14 14:07:23+00:00,pick item,Nina Graves,Warehousing,,,employees
