ocel_id,ocel_type
Echo,products
Echo Show 8,products
Danube Pharmaceuticals BV,customers
Wil van der Aalst,employees
Christine von Dobbert,employees
Jan Niklas Adams,employees
Mara Nitschke,employees
Istvan Koren,employees
Alessandro Berti,employees
Eduardo Goulart Rocha,employees
Majid Rafiei,employees
Viki Peeva,employees
Yisong Zhang,employees
Benedikt Knopp,employees
Christopher Schwanen,employees
Leah Tacke genannt Unterberg,employees
Detlef Wetzeler,employees
Gyunam Park,employees
Marco Pegoraro,employees
Nina Graves,employees
Mahsa Bafrani,employees
Carpathian Financial Services plc,customers
AlpenTech Innovations AG,customers
Balkan Minerals d.o.o.,customers
Echo Studio,products
iPad Air,products
Riviera Robotics SAS,customers
Kindle Paperwhite,products
MacBook Pro,products
iPhone 8,products
Echo Show 5,products
Iberian Sun Solaridades SA,customers
Baltic Wave Energies Ltd.,customers
Pantheon Art Gallery Kft.,customers
Vesta Fashion House GmbH,customers
Mediterranea Luxury Cruises S.p.A.,customers
Fire Stick,products
iPad Pro,products
Nordica Systems GmbH,customers
iPad,products
Celtica Green Farms Oy,customers
Golden Fleece Textiles S.A.R.L.,customers
SwissPeak Timepieces AG,customers
MacBook Air,products
Eastern Oak Insurance Zrt.,customers
iPhone 11 Pro,products
Echo Plus,products
iPhone 11,products
iPhone X,products
iPad mini,products
Fire Stick 4K,products
Echo Dot,products
Kindle,products
o-990001,orders
i-880001,items
i-880002,items
i-880003,items
o-990002,orders
i-880004,items
i-880005,items
i-880006,items
o-990003,orders
i-880007,items
i-880008,items
i-880009,items
i-880010,items
i-880011,items
i-880012,items
o-990004,orders
i-880013,items
i-880014,items
i-880015,items
i-880016,items
i-880017,items
i-880018,items
i-880019,items
i-880020,items
o-990005,orders
i-880021,items
i-880022,items
i-880023,items
i-880024,items
i-880025,items
o-990006,orders
i-880026,items
i-880027,items
i-880028,items
i-880029,items
i-880030,items
i-880031,items
i-880032,items
o-990007,orders
i-880033,items
i-880034,items
i-880035,items
i-880036,items
i-880037,items
i-880038,items
i-880039,items
o-990008,orders
i-880040,items
i-880041,items
i-880042,items
i-880043,items
o-990009,orders
i-880044,items
i-880045,items
i-880046,items
i-880047,items
o-990010,orders
i-880048,items
i-880049,items
i-880050,items
i-880051,items
o-990011,orders
i-880052,items
i-880053,items
i-880054,items
o-990012,orders
i-880055,items
i-880056,items
i-880057,items
i-880058,items
i-880059,items
o-990013,orders
i-880060,items
i-880061,items
i-880062,items
i-880063,items
i-880064,items
i-880065,items
o-990014,orders
i-880066,items
i-880067,items
i-880068,items
p-660001,packages
o-990015,orders
i-880069,items
i-880070,items
i-880071,items
o-990016,orders
i-880072,items
i-880073,items
i-880074,items
i-880075,items
i-880076,items
i-880077,items
o-990017,orders
i-880078,items
i-880079,items
i-880080,items
i-880081,items
i-880082,items
i-880083,items
o-990018,orders
i-880084,items
i-880085,items
i-880086,items
i-880087,items
i-880088,items
o-990019,orders
i-880089,items
i-880090,items
i-880091,items
o-990020,orders
i-880092,items
i-880093,items
i-880094,items
o-990021,orders
i-880095,items
i-880096,items
i-880097,items
p-660002,packages
o-990022,orders
i-880098,items
i-880099,items
i-880100,items
i-880101,items
i-880102,items
p-660003,packages
o-990023,orders
i-880103,items
i-880104,items
i-880105,items
i-880106,items
i-880107,items
p-660004,packages
o-990024,orders
i-880108,items
i-880109,items
i-880110,items
o-990025,orders
i-880111,items
i-880112,items
i-880113,items
p-660005,packages
o-990026,orders
i-880114,items
i-880115,items
i-880116,items
o-990027,orders
i-880117,items
i-880118,items
o-990028,orders
i-880119,items
i-880120,items
i-880121,items
i-880122,items
p-660006,packages
o-990029,orders
i-880123,items
i-880124,items
i-880125,items
o-990030,orders
i-880126,items
i-880127,items
i-880128,items
i-880129,items
i-880130,items
i-880131,items
i-880132,items
i-880133,items
i-880134,items
p-660007,packages
o-990031,orders
i-880135,items
i-880136,items
i-880137,items
p-660008,packages
o-990032,orders
i-880138,items
i-880139,items
i-880140,items
i-880141,items
i-880142,items
p-660009,packages
o-990033,orders
i-880143,items
i-880144,items
i-880145,items
i-880146,items
o-990034,orders
i-880147,items
i-880148,items
i-880149,items
p-660010,packages
o-990035,orders
i-880150,items
i-880151,items
i-880152,items
i-880153,items
i-880154,items
o-990036,orders
i-880155,items
i-880156,items
i-880157,items
i-880158,items
p-660011,packages
o-990037,orders
i-880159,items
i-880160,items
i-880161,items
i-880162,items
i-880163,items
i-880164,items
o-990038,orders
i-880165,items
i-880166,items
i-880167,items
o-990039,orders
i-880168,items
i-880169,items
i-880170,items
i-880171,items
i-880172,items
i-880173,items
p-660012,packages
o-990040,orders
i-880174,items
i-880175,items
p-660013,packages
o-990041,orders
i-880176,items
i-880177,items
i-880178,items
i-880179,items
i-880180,items
i-880181,items
o-990042,orders
i-880182,items
i-880183,items
i-880184,items
i-880185,items
i-880186,items
i-880187,items
i-880188,items
o-990043,orders
i-880189,items
i-880190,items
o-990044,orders
i-880191,items
i-880192,items
i-880193,items
p-660014,packages
o-990045,orders
i-880194,items
i-880195,items
p-660015,packages
p-660016,packages
o-990046,orders
i-880196,items
i-880197,items
p-660017,packages
o-990047,orders
i-880198,items
i-880199,items
i-880200,items
i-880201,items
i-880202,items
i-880203,items
i-880204,items
i-880205,items
o-990048,orders
i-880206,items
i-880207,items
i-880208,items
p-660018,packages
p-660019,packages
o-990049,orders
i-880209,items
i-880210,items
i-880211,items
o-990050,orders
i-880212,items
i-880213,items
i-880214,items
i-880215,items
i-880216,items
i-880217,items
i-880218,items
i-880219,items
o-990051,orders
i-880220,items
i-880221,items
o-990052,orders
i-880222,items
i-880223,items
i-880224,items
i-880225,items
p-660020,packages
p-660021,packages
o-990053,orders
i-880226,items
i-880227,items
i-880228,items
o-990054,orders
i-880229,items
i-880230,items
i-880231,items
i-880232,items
i-880233,items
i-880234,items
i-880235,items
o-990055,orders
i-880236,items
i-880237,items
i-880238,items
i-880239,items
i-880240,items
p-660022,packages
p-660023,packages
o-990056,orders
i-880241,items
i-880242,items
o-990057,orders
i-880243,items
i-880244,items
i-880245,items
i-880246,items
i-880247,items
o-990058,orders
i-880248,items
i-880249,items
i-880250,items
i-880251,items
i-880252,items
o-990059,orders
i-880253,items
i-880254,items
i-880255,items
o-990060,orders
i-880256,items
i-880257,items
i-880258,items
i-880259,items
i-880260,items
p-660024,packages
o-990061,orders
i-880261,items
i-880262,items
i-880263,items
i-880264,items
i-880265,items
o-990062,orders
i-880266,items
i-880267,items
i-880268,items
o-990063,orders
i-880269,items
i-880270,items
o-990064,orders
i-880271,items
i-880272,items
i-880273,items
i-880274,items
i-880275,items
i-880276,items
o-990065,orders
i-880277,items
i-880278,items
i-880279,items
o-990066,orders
i-880280,items
i-880281,items
i-880282,items
i-880283,items
i-880284,items
i-880285,items
o-990067,orders
i-880286,items
i-880287,items
o-990068,orders
i-880288,items
i-880289,items
i-880290,items
i-880291,items
i-880292,items
i-880293,items
i-880294,items
o-990069,orders
i-880295,items
i-880296,items
i-880297,items
i-880298,items
i-880299,items
p-660025,packages
o-990070,orders
i-880300,items
i-880301,items
p-660026,packages
o-990071,orders
i-880302,items
i-880303,items
i-880304,items
i-880305,items
i-880306,items
i-880307,items
i-880308,items
p-660027,packages
o-990072,orders
i-880309,items
i-880310,items
i-880311,items
i-880312,items
o-990073,orders
i-880313,items
i-880314,items
i-880315,items
o-990074,orders
i-880316,items
i-880317,items
i-880318,items
i-880319,items
i-880320,items
p-660028,packages
o-990075,orders
i-880321,items
o-990076,orders
i-880322,items
i-880323,items
i-880324,items
i-880325,items
p-660029,packages
o-990077,orders
i-880326,items
i-880327,items
i-880328,items
p-660030,packages
o-990078,orders
i-880329,items
i-880330,items
i-880331,items
i-880332,items
p-660031,packages
o-990079,orders
i-880333,items
i-880334,items
i-880335,items
o-990080,orders
i-880336,items
i-880337,items
i-880338,items
i-880339,items
p-660032,packages
p-660033,packages
o-990081,orders
i-880340,items
o-990082,orders
i-880341,items
i-880342,items
i-880343,items
i-880344,items
i-880345,items
o-990083,orders
i-880346,items
o-990084,orders
i-880347,items
i-880348,items
i-880349,items
i-880350,items
i-880351,items
i-880352,items
i-880353,items
i-880354,items
i-880355,items
i-880356,items
p-660034,packages
o-990085,orders
i-880357,items
i-880358,items
i-880359,items
i-880360,items
i-880361,items
i-880362,items
i-880363,items
i-880364,items
o-990086,orders
i-880365,items
i-880366,items
i-880367,items
i-880368,items
i-880369,items
i-880370,items
o-990087,orders
i-880371,items
i-880372,items
i-880373,items
i-880374,items
i-880375,items
i-880376,items
i-880377,items
p-660035,packages
o-990088,orders
i-880378,items
i-880379,items
i-880380,items
i-880381,items
i-880382,items
i-880383,items
i-880384,items
o-990089,orders
i-880385,items
i-880386,items
o-990090,orders
i-880387,items
i-880388,items
i-880389,items
i-880390,items
o-990091,orders
i-880391,items
i-880392,items
i-880393,items
i-880394,items
i-880395,items
p-660036,packages
o-990092,orders
i-880396,items
i-880397,items
p-660037,packages
o-990093,orders
i-880398,items
i-880399,items
i-880400,items
i-880401,items
i-880402,items
i-880403,items
i-880404,items
i-880405,items
o-990094,orders
i-880406,items
i-880407,items
i-880408,items
p-660038,packages
o-990095,orders
i-880409,items
i-880410,items
p-660039,packages
o-990096,orders
i-880411,items
i-880412,items
i-880413,items
i-880414,items
i-880415,items
i-880416,items
i-880417,items
o-990097,orders
i-880418,items
i-880419,items
i-880420,items
o-990098,orders
i-880421,items
i-880422,items
i-880423,items
o-990099,orders
i-880424,items
i-880425,items
o-990100,orders
i-880426,items
i-880427,items
i-880428,items
p-660040,packages
o-990101,orders
i-880429,items
o-990102,orders
i-880430,items
i-880431,items
i-880432,items
i-880433,items
o-990103,orders
i-880434,items
i-880435,items
i-880436,items
i-880437,items
i-880438,items
i-880439,items
o-990104,orders
i-880440,items
i-880441,items
i-880442,items
i-880443,items
i-880444,items
